country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
FR,decarbo-eu,2050,543174.7131229505,0.016,8690.795409967208,petrochem_olefins
GR,decarbo-eu,2019,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2020,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2021,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2022,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2023,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2024,3492.071428571428,0.02,69.84142857142857,petrochem_olefins
GR,decarbo-eu,2025,3309.9104504029615,0.02,66.19820900805924,petrochem_olefins
GR,decarbo-eu,2026,3127.749472234495,0.02,62.5549894446899,petrochem_olefins
GR,decarbo-eu,2027,2945.588494066029,0.02,58.91176988132058,petrochem_olefins
GR,decarbo-eu,2028,2763.427515897562,0.02,55.26855031795124,petrochem_olefins
GR,decarbo-eu,2029,2581.266537729097,0.02,51.62533075458194,petrochem_olefins
GR,decarbo-eu,2030,2399.10555956063,0.02,47.982111191212596,petrochem_olefins
GR,decarbo-eu,2031,2251.011337139446,0.0198,44.57002447536103,petrochem_olefins
GR,decarbo-eu,2032,2102.9171147182624,0.0196,41.21717544847794,petrochem_olefins
GR,decarbo-eu,2033,1954.8228922970777,0.0194,37.92356411056331,petrochem_olefins
GR,decarbo-eu,2034,1806.728669875894,0.0192,34.68919046161716,petrochem_olefins
GR,decarbo-eu,2035,1658.6344474547102,0.019,31.514054501639492,petrochem_olefins
GR,decarbo-eu,2036,1510.5402250335258,0.0188,28.398156230630285,petrochem_olefins
GR,decarbo-eu,2037,1362.446002612342,0.018600000000000002,25.341495648589564,petrochem_olefins
GR,decarbo-eu,2038,1214.351780191158,0.0184,22.344072755517306,petrochem_olefins
GR,decarbo-eu,2039,1066.2575577699743,0.0182,19.40588755141353,petrochem_olefins
GR,decarbo-eu,2040,918.1633353487902,0.018000000000000002,16.526940036278226,petrochem_olefins
GR,decarbo-eu,2041,859.403155740564,0.0178,15.29737617218204,petrochem_olefins
GR,decarbo-eu,2042,800.6429761323377,0.0176,14.091316379929145,petrochem_olefins
GR,decarbo-eu,2043,741.8827965241117,0.0174,12.908760659519542,petrochem_olefins
GR,decarbo-eu,2044,683.1226169158856,0.017200000000000003,11.749709010953234,petrochem_olefins
GR,decarbo-eu,2045,624.3624373076595,0.017,10.614161434230214,petrochem_olefins
GR,decarbo-eu,2046,565.6022576994333,0.016800000000000002,9.50211792935048,petrochem_olefins
GR,decarbo-eu,2047,506.842078091207,0.0166,8.413578496314036,petrochem_olefins
GR,decarbo-eu,2048,448.0818984829809,0.0164,7.348543135120887,petrochem_olefins
GR,decarbo-eu,2049,389.3217188747548,0.016200000000000003,6.307011845771029,petrochem_olefins
GR,decarbo-eu,2050,330.56153926652865,0.016,5.288984628264458,petrochem_olefins
HR,decarbo-eu,2019,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2020,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2021,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2022,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2023,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2024,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2025,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2026,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2027,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2028,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2029,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2030,0.0,0.02,0.0,petrochem_olefins
HR,decarbo-eu,2031,0.0,0.0198,0.0,petrochem_olefins
HR,decarbo-eu,2032,0.0,0.0196,0.0,petrochem_olefins
HR,decarbo-eu,2033,0.0,0.0194,0.0,petrochem_olefins
HR,decarbo-eu,2034,0.0,0.0192,0.0,petrochem_olefins
HR,decarbo-eu,2035,0.0,0.019,0.0,petrochem_olefins
HR,decarbo-eu,2036,0.0,0.0188,0.0,petrochem_olefins
HR,decarbo-eu,2037,0.0,0.018600000000000002,0.0,petrochem_olefins
HR,decarbo-eu,2038,0.0,0.0184,0.0,petrochem_olefins
HR,decarbo-eu,2039,0.0,0.0182,0.0,petrochem_olefins
HR,decarbo-eu,2040,0.0,0.018000000000000002,0.0,petrochem_olefins
