country,scenario,year,olefins_activity,h2_intensity,h2_demand_t_per_yr,scope
LV,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
LV,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
LV,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
LV,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
LV,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
LV,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
LV,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
LV,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
LV,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
LV,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
LV,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
LV,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
LV,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
LV,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
LV,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
LV,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
MT,bau-eu,2019,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2020,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2021,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2022,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2023,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2024,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2025,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2026,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2027,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2028,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2029,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2030,0.0,0.02,0.0,petrochem_olefins
MT,bau-eu,2031,0.0,0.019950000000000002,0.0,petrochem_olefins
MT,bau-eu,2032,0.0,0.0199,0.0,petrochem_olefins
MT,bau-eu,2033,0.0,0.01985,0.0,petrochem_olefins
MT,bau-eu,2034,0.0,0.0198,0.0,petrochem_olefins
MT,bau-eu,2035,0.0,0.01975,0.0,petrochem_olefins
MT,bau-eu,2036,0.0,0.0197,0.0,petrochem_olefins
MT,bau-eu,2037,0.0,0.019649999999999997,0.0,petrochem_olefins
MT,bau-eu,2038,0.0,0.0196,0.0,petrochem_olefins
MT,bau-eu,2039,0.0,0.01955,0.0,petrochem_olefins
MT,bau-eu,2040,0.0,0.0195,0.0,petrochem_olefins
MT,bau-eu,2041,0.0,0.01945,0.0,petrochem_olefins
MT,bau-eu,2042,0.0,0.0194,0.0,petrochem_olefins
MT,bau-eu,2043,0.0,0.019350000000000003,0.0,petrochem_olefins
MT,bau-eu,2044,0.0,0.0193,0.0,petrochem_olefins
MT,bau-eu,2045,0.0,0.01925,0.0,petrochem_olefins
MT,bau-eu,2046,0.0,0.0192,0.0,petrochem_olefins
MT,bau-eu,2047,0.0,0.01915,0.0,petrochem_olefins
MT,bau-eu,2048,0.0,0.0191,0.0,petrochem_olefins
MT,bau-eu,2049,0.0,0.019049999999999997,0.0,petrochem_olefins
MT,bau-eu,2050,0.0,0.019,0.0,petrochem_olefins
NL,bau-eu,2019,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2020,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2021,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2022,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2023,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2024,5269000.5,0.02,105380.01000000001,petrochem_olefins
NL,bau-eu,2025,4984307.502665635,0.02,99686.15005331271,petrochem_olefins
NL,bau-eu,2026,4699614.505331271,0.02,93992.29010662543,petrochem_olefins
NL,bau-eu,2027,4414921.507996907,0.02,88298.43015993816,petrochem_olefins
NL,bau-eu,2028,4130228.5106625417,0.02,82604.57021325083,petrochem_olefins
