country,year,refinery_scenario,refinery_activity,refinery_index,olefins_scenario
GR,2043,more-molecule,4581659.577870303,0.22358511042378867,bau-eu
GR,2044,more-molecule,4227120.1085395375,0.20628357480058604,bau-eu
GR,2045,more-molecule,3872580.639208774,0.1889820391773835,bau-eu
GR,2046,more-molecule,3518041.16987801,0.1716805035541809,bau-eu
GR,2047,more-molecule,3163501.7005472463,0.15437896793097836,bau-eu
GR,2048,more-molecule,2808962.2312164814,0.13707743230777572,bau-eu
GR,2049,more-molecule,2454422.761885719,0.11977589668457324,bau-eu
GR,2050,more-molecule,2099883.292554955,0.10247436106137067,bau-eu
HR,2019,more-molecule,0.0,1.0,bau-eu
HR,2020,more-molecule,0.0,1.0,bau-eu
HR,2021,more-molecule,0.0,1.0,bau-eu
HR,2022,more-molecule,0.0,1.0,bau-eu
HR,2023,more-molecule,0.0,1.0,bau-eu
HR,2024,more-molecule,0.0,1.0,bau-eu
HR,2025,more-molecule,0.0,1.0,bau-eu
HR,2026,more-molecule,0.0,1.0,bau-eu
HR,2027,more-molecule,0.0,1.0,bau-eu
HR,2028,more-molecule,0.0,1.0,bau-eu
HR,2029,more-molecule,0.0,1.0,bau-eu
HR,2030,more-molecule,0.0,1.0,bau-eu
HR,2031,more-molecule,0.0,1.0,bau-eu
HR,2032,more-molecule,0.0,1.0,bau-eu
HR,2033,more-molecule,0.0,1.0,bau-eu
HR,2034,more-molecule,0.0,1.0,bau-eu
HR,2035,more-molecule,0.0,1.0,bau-eu
HR,2036,more-molecule,0.0,1.0,bau-eu
HR,2037,more-molecule,0.0,1.0,bau-eu
HR,2038,more-molecule,0.0,1.0,bau-eu
HR,2039,more-molecule,0.0,1.0,bau-eu
HR,2040,more-molecule,0.0,1.0,bau-eu
HR,2041,more-molecule,0.0,1.0,bau-eu
HR,2042,more-molecule,0.0,1.0,bau-eu
HR,2043,more-molecule,0.0,1.0,bau-eu
HR,2044,more-molecule,0.0,1.0,bau-eu
HR,2045,more-molecule,0.0,1.0,bau-eu
HR,2046,more-molecule,0.0,1.0,bau-eu
HR,2047,more-molecule,0.0,1.0,bau-eu
HR,2048,more-molecule,0.0,1.0,bau-eu
HR,2049,more-molecule,0.0,1.0,bau-eu
HR,2050,more-molecule,0.0,1.0,bau-eu
HU,2019,more-molecule,0.0,1.0,bau-eu
HU,2020,more-molecule,0.0,1.0,bau-eu
HU,2021,more-molecule,0.0,1.0,bau-eu
HU,2022,more-molecule,0.0,1.0,bau-eu
HU,2023,more-molecule,0.0,1.0,bau-eu
HU,2024,more-molecule,0.0,1.0,bau-eu
HU,2025,more-molecule,0.0,1.0,bau-eu
HU,2026,more-molecule,0.0,1.0,bau-eu
HU,2027,more-molecule,0.0,1.0,bau-eu
HU,2028,more-molecule,0.0,1.0,bau-eu
HU,2029,more-molecule,0.0,1.0,bau-eu
HU,2030,more-molecule,0.0,1.0,bau-eu
HU,2031,more-molecule,0.0,1.0,bau-eu
HU,2032,more-molecule,0.0,1.0,bau-eu
HU,2033,more-molecule,0.0,1.0,bau-eu
